head_label,num_q_heads,num_kv_heads,head_dim,num_requests,cache_alloc_len,dtype_label,position_mode,layout,request_mapping,impl,spread,tensor_mode,position_sets,fresh_args,distinct_slots_per_request,device_median_ms,device_min_ms,amortized_call_ms,device_median_ratio,amortized_call_ratio
mha,32,32,128,32,2048,fp32,ragged,packed,identity,eager,2048,distinct,8,True,8,0.0743199996650219,0.07235199958086014,0.06418469594791532,1.0067186322032924,1.022741364843245
mha,32,32,128,32,2048,fp32,ragged,packed,identity,compile,2048,distinct,8,True,8,0.025439999997615814,0.024351999163627625,0.01851336914114654,0.9894212738675857,0.9966533517277824
mha,32,32,128,32,2048,fp32,ragged,packed,identity,graph_compile,2048,distinct,8,True,8,0.010912000201642513,0.00684799998998642,0.006023594178259373,0.9855491905644032,1.0147600484568737
gqa,32,8,128,1,2048,bf16,ragged,packed,identity,eager,1,shared,8,True,1,0.09014400094747543,0.08752000331878662,0.07797556463629007,1.0,1.0
gqa,32,8,128,1,2048,bf16,ragged,packed,identity,compile,1,shared,8,True,1,0.029583999887108803,0.02844800055027008,0.022396985441446304,1.0,1.0
gqa,32,8,128,1,2048,bf16,ragged,packed,identity,graph_compile,1,shared,8,True,1,0.011103999800980091,0.005696000065654516,0.005978659028187394,1.0,1.0
gqa,32,8,128,1,2048,bf16,ragged,packed,identity,eager,1,distinct,8,True,1,0.08892799913883209,0.0862400010228157,0.07788689923472703,0.9865104522113249,0.9988629078612432
gqa,32,8,128,1,2048,bf16,ragged,packed,identity,compile,1,distinct,8,True,1,0.02940800040960312,0.02800000086426735,0.022532190196216106,0.9940508559296481,1.00603673896754
gqa,32,8,128,1,2048,bf16,ragged,packed,identity,graph_compile,1,distinct,8,True,1,0.010847999714314938,0.006304000038653612,0.005932624917477369,0.9769452367386968,0.9923002615648443
gqa,32,8,128,1,2048,bf16,ragged,packed,identity,eager,2,distinct,8,True,2,0.08940800279378891,0.08092799782752991,0.07722044480033219,0.9918353063326381,0.990315942699741
gqa,32,8,128,1,2048,bf16,ragged,packed,identity,compile,2,distinct,8,True,2,0.02969600073993206,0.028095999732613564,0.02241341513581574,1.0037858590201003,1.0007335672210167
gqa,32,8,128,1,2048,bf16,ragged,packed,identity,graph_compile,2,distinct,8,True,2,0.010879999957978725,0.005791999865323305,0.005931369960308075,0.9798271031145377,0.9920903554365006
gqa,32,8,128,1,2048,bf16,ragged,packed,identity,eager,8,distinct,8,True,8,0.0904800035059452,0.08713600039482117,0.07796770543791354,1.0037273978849193,0.9998992094714133
gqa,32,8,128,1,2048,bf16,ragged,packed,identity,compile,8,distinct,8,True,8,0.02985600009560585,0.02879999950528145,0.02298949984833598,1.0091941660875807,1.0264550963092207
gqa,32,8,128,1,2048,bf16,ragged,packed,identity,graph_compile,8,distinct,8,True,8,0.010847999714314938,0.007872000336647034,0.0060070655308663845,0.9769452367386968,1.0047513167325755
gqa,32,8,128,1,2048,bf16,ragged,packed,identity,eager,64,distinct,8,True,8,0.09004800021648407,0.08617600053548813,0.07800011546351016,0.9989350291757374,1.0003148528303014
gqa,32,8,128,1,2048,bf16,ragged,packed,identity,compile,64,distinct,8,True,8,0.02953599952161312,0.025631999596953392,0.022404245100915432,0.9983774889913856,1.000324135562266
gqa,32,8,128,1,2048,bf16,ragged,packed,identity,graph_compile,64,distinct,8,True,8,0.011024000123143196,0.007104000076651573,0.005878269439563155,0.9927954179331097,0.9832086780411903
gqa,32,8,128,1,2048,bf16,ragged,packed,identity,eager,512,distinct,8,True,8,0.0899679996073246,0.08806400001049042,0.07767269504256546,0.9980475534888519,0.9961158396846843
gqa,32,8,128,1,2048,bf16,ragged,packed,identity,compile,512,distinct,8,True,8,0.02924799919128418,0.028224000707268715,0.02253599464893341,0.9886424859009334,1.006206603466816
gqa,32,8,128,1,2048,bf16,ragged,packed,identity,graph_compile,512,distinct,8,True,8,0.010832000058144331,0.005152000114321709,0.0059534108731895685,0.9755043454871323,0.9957769535143601
gqa,32,8,128,1,2048,bf16,ragged,packed,identity,eager,2048,distinct,8,True,8,0.09095999971032143,0.08854400366544724,0.07826656452380121,1.0090521693542476,1.0037319369070103
gqa,32,8,128,1,2048,bf16,ragged,packed,identity,compile,2048,distinct,8,True,8,0.029488000087440014,0.02848000079393387,0.02242128597572446,0.9967550094633884,1.0010849912967834
gqa,32,8,128,1,2048,bf16,ragged,packed,identity,graph_compile,2048,distinct,8,True,8,0.010912000201642513,0.0063680000603199005,0.005930069601163268,0.9827089694903784,0.9918728553016583
